Tool	Data	Environment	Time(s)
getorf	A. thal	Dskt	46.67
getorf	A. thal	HPC	13.33
getorf	Human	Dskt	77.67
getorf	Human	HPC	84
getorf	Bac	Dskt	251.33
getorf	Bac	HPC	273.33
orfipy	A. thal	Dskt	34
orfipy	A. thal	HPC	7.67
orfipy	Human	Dskt	55.33
orfipy	Human	HPC	22
orfipy	Bac	Dskt	199.67
orfipy	Bac	HPC	97.67
orfm	A. thal	Dskt	9.33
orfm	A. thal	HPC	1.67
orfm	Human	Dskt	37.33
orfm	Human	HPC	22
orfm	Bac	Dskt	110
orfm	Bac	HPC	62
